City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
192,tocopilla,-22.092,-70.1979,20.6,68,21,6.19,CL,1699827261
193,enewetak,11.3474,162.3373,27.63,83,100,9.78,MH,1699827261
194,escarcega,18.6089,-90.7454,31.2,52,78,0.98,MX,1699827262
195,al burayqah,30.4062,19.5739,22.18,74,0,4.63,LY,1699827262
196,pangai,-19.8,-174.35,24.06,88,100,9.26,TO,1699827262
197,kapuskasing,49.4169,-82.4331,1.05,93,100,6.69,CA,1699827170
198,bardai,11.65,7.2333,23.2,24,2,3.01,NG,1699827262
199,trapani,37.8333,12.6667,20.05,78,20,8.75,IT,1699827263
200,kristiansund,63.1115,7.732,1.36,75,0,2.06,NO,1699827263
201,horta,38.5333,-28.6333,17.79,87,99,1.79,PT,1699827263
202,whitehorse,60.7161,-135.0538,-2.57,86,75,4.12,CA,1699827263
203,kununurra,-15.7667,128.7333,26.99,94,100,2.06,AU,1699827264
204,mhamid,29.82,-5.72,22.71,27,13,2.63,MA,1699827264
205,katsuura,35.1333,140.3,9.01,84,55,9.12,JP,1699827264
206,chibougamau,49.9168,-74.3659,-5.21,93,100,1.54,CA,1699827264
207,hammerfest,70.6634,23.6821,-5.75,58,0,1.54,NO,1699826669
208,lihue,21.9789,-159.3672,28.58,72,75,8.23,US,1699827265
209,santa elena,-2.2333,-80.85,24.75,83,100,4.12,EC,1699827265
210,neryungri,56.6709,124.6491,-12.25,89,95,5.2,RU,1699827265
211,gadzhiyevo,69.2551,33.3362,-8.8,97,92,4.03,RU,1699827266
212,tughyl,47.7252,84.2063,4.58,81,100,7.07,KZ,1699827266
213,la ronge,55.1001,-105.2842,3.14,65,20,5.14,CA,1699827266
214,tralee,52.2704,-9.7026,10.18,97,97,2.65,IE,1699827266
215,new norfolk,-42.7826,147.0587,15.51,53,15,3.3,AU,1699827266
216,torghay,49.6339,63.4981,4.24,90,22,2.64,KZ,1699827267
217,kangaba,11.9333,-8.4167,26.93,24,100,1.93,ML,1699827267
218,carnarvon,-24.8667,113.6333,20.33,85,16,2.55,AU,1699827267
219,kingston,17.997,-76.7936,31.53,71,20,8.23,JM,1699827267
220,visakhapatnam,17.69,83.2093,23.44,78,75,2.8,IN,1699827267
221,port lincoln,-34.7333,135.8667,14.9,73,88,5.49,AU,1699827267
222,mawlaik,23.6333,94.4167,18.97,90,1,0.59,MM,1699827268
223,beau vallon,-20.4189,57.6953,22.34,94,20,3.6,MU,1699826674
224,kismayo,-0.3582,42.5454,26.69,83,66,3.01,SO,1699827268
225,coquimbo,-29.9533,-71.3436,16.32,64,0,5.92,CL,1699827268
226,marsh harbour,26.5412,-77.0636,25.99,63,90,3.54,BS,1699827268
227,westport,41.1415,-73.3579,5.53,62,0,2.06,US,1699827268
228,princeville,45.7668,-61.2985,3.62,86,100,3.6,CA,1699827269
229,dapa,9.7594,126.0531,27.54,80,20,2.13,PH,1699827269
230,san patricio,28.017,-97.5169,16.97,95,100,5.41,US,1699827269
231,buta,2.7858,24.73,21.08,99,55,0.86,CD,1699827269
232,bairnsdale,-37.8333,147.6167,15.59,64,93,1.34,AU,1699827269
233,alice springs,-23.7,133.8833,25.75,53,48,3.6,AU,1699827239
234,hirara,24.8,125.2833,22.78,70,99,12.84,JP,1699827270
235,sur,22.5667,59.5289,25.31,56,100,0.72,OM,1699827270
236,la sarre,48.8002,-79.1996,-3.53,92,45,3.21,CA,1699826978
237,ciro marina,39.3732,17.126,18.37,77,41,4.14,IT,1699827270
238,pangody,65.85,74.4859,-8.94,93,79,5.12,RU,1699827270
239,charters towers,-20.1,146.2667,23.3,58,0,3.88,AU,1699826681
240,paita,-5.0892,-81.1144,21.83,76,18,8.52,PE,1699827271
241,barra de santo antonio,-9.4047,-35.5072,24.6,72,1,3.43,BR,1699826687
242,oranjemund,-28.55,16.4333,14.89,83,1,8.78,NA,1699826688
243,tukrah,32.5341,20.5791,20.55,75,51,1.69,LY,1699827271
244,novodvinsk,64.4165,40.8122,-3.45,93,26,3.78,RU,1699827271
245,filey,54.21,-0.2892,7.82,92,100,4.02,GB,1699827272
246,barysaw,54.2312,28.5049,6.16,90,100,6.81,BY,1699827272
247,abohar,30.15,74.1833,17.12,46,0,1.17,IN,1699827272
248,rurrenabaque,-14.4413,-67.5278,36.8,33,36,3.28,BO,1699827272
249,luau,-10.7073,22.2247,18.48,97,98,1.19,AO,1699827273
250,howard springs,-12.497,131.047,27.68,81,91,1.1,AU,1699827273
251,dok kham tai,19.1624,99.9934,21.26,97,91,0.28,TH,1699827273
252,santo domingo,18.5001,-69.9886,28.82,83,40,2.57,DO,1699826801
253,basco,20.4487,121.9702,26.25,79,85,12.82,PH,1699827273
254,brazzaville,-4.2658,15.2832,22.43,97,100,0.23,CG,1699827273
255,kuqa,41.7278,82.9364,4.17,62,8,0.76,CN,1699827274
256,makurdi,7.7411,8.5121,26.8,78,55,2.58,NG,1699827274
257,tejen,37.3834,60.5054,12.75,39,0,6.12,TM,1699827274
258,orchard homes,46.8633,-114.0484,12.08,53,0,4.63,US,1699827274
259,port saint john's,-31.6229,29.5448,17.98,68,67,4.1,ZA,1699827274
260,santa ana,33.7456,-117.8678,31.82,27,20,5.14,US,1699827274
261,bam,29.106,58.357,18.5,33,83,1.68,IR,1699827275
262,neka,36.6508,53.299,17.43,52,92,2.04,IR,1699827275
263,vilyuysk,63.7553,121.6247,-22.11,100,49,2.04,RU,1699827276
264,miandrivazo,-19.5167,45.4667,25.8,76,100,0.79,MG,1699827276
265,pacific grove,36.6177,-121.9166,22.42,68,0,6.69,US,1699827276
266,passos,-20.7189,-46.6097,28.62,27,52,1.63,BR,1699826984
267,linqiong,30.4159,103.4609,9.68,85,100,1.33,CN,1699827277
268,mazara del vallo,37.6641,12.588,20.97,76,15,9.36,IT,1699827277
269,galesong,-5.3166,119.3661,24.01,65,85,1.49,ID,1699827277
270,santiago de cuba,20.0247,-75.8219,27.06,89,75,2.06,CU,1699827277
